Instancias,Plantas,Produtos,Periodos,Bin_vars,Setup_time,Setup_cost,Capacidade,Obj_RF_1_0,Time_RF_1_0,Obj_RF_2_0,Time_RF_2_0,Obj_RF_2_1,Time_RF_2_1,Obj_RF_3_0,Time_RF_3_0,Obj_RF_3_1,Time_RF_3_1,Obj_RF_3_2,Time_RF_3_2,Obj_RF_4_0,Time_RF_4_0,Obj_RF_4_1,Time_RF_4_1,Obj_RF_4_2,Time_RF_4_2,Obj_RF_4_3,Time_RF_4_3,Obj_RF_6_0,Time_RF_6_0,Obj_RF_6_1,Time_RF_6_1,Obj_RF_6_2,Time_RF_6_2,Obj_RF_6_3,Time_RF_6_3,Obj_RF_6_4,Time_RF_6_4,Obj_RF_6_5,Time_RF_6_5,Obj_RF_T_0,Time_RF_T_0
AAA00_12_2_10,2,10,12,240,high,high,tight,68290.89,1.1,67510.52,1.2599,65709.23,2.13,65838.27,1.62,65845.32,2.4,64952.21,3.9,64805.68,2,64925.89,3.3,64375.05,4.6,64833.15,6.4,65345.74,13.7,64514.48,13.11,64295.11,22.6,64319.82,21.86,64366.38,36.8,64319.82,75.56,63942.18,661.7
AAA00_12_2_60,2,60,12,1440,high,high,tight,472379.31,16.1,433334.46,47.48,423713.01,124.09,426142.19,279.84,421564.17,377.2,417779.57,569.1,421630.53,578.6,417123.55,798.4,416402.46,991,416259.56,1296.6,417894.66,1800.37,416054,1201.15,415807.71,1249,415530.88,1800.52,415498.27,1800.6,415278.54,1800.67,414813.46,1800.3
AAA00_12_2_120,2,120,12,2880,high,high,tight,876917.39,54.6,843590.75,159.71,816913.04,342.47,832288.62,287.66,814518.56,618.6,812510.44,1277.7,820280.76,838.3,810934.95,915.1,810279.67,1286.3,811290.18,1556.3,823765.77,1800.51,809997.06,1201.2,809249.08,1269.9,810278.46,1800.39,825709,1800.42,834880.55,1800.53,808310.31,1800.1
AAA00_12_4_10,4,10,12,480,high,high,tight,119691.81,8.3,117809.59,13.55,116509.12,16.95,117578.09,67.67,116862.76,68.2,116392.07,97.6,117712.97,267.3,116618.89,199.7,116484.48,313,116461.43,507,116811.61,1387.94,116443.66,1200.89,116211.22,1207.6,116074.68,1404.35,116038.75,1591.81,116059.27,1789.57,116655.81,1800.3
AAA00_12_4_60,4,60,12,2880,high,high,tight,675451.58,126,657438.45,514.3758,653962.36,999.84,655104.18,1365.74,651868.1,1500.3,657884.28,1619.6,659076.97,1476.5,657866.56,1400.6,654687.3,1595.5,663515.36,1774.1,659496.4,1800.13,661304.02,1203.93,665208.78,1468.8,668729.13,1800.46,678041.11,1800.33,664365.34,1800.68,677672.79,1800
AAA00_12_4_120,4,120,12,5760,high,high,tight,1378508.91,541.9,1348302.36,1507.02,1351844.3,1569.15,1409877.28,1437.3,1388223.03,1507.1,1425101.58,1727.8,1375250.87,1800.2,1410678.95,1586.6,1441207.23,1800.8,1421506.81,1801.1,1422204.31,1800.46,1414372.85,1204.03,1403336.22,1742.6,1392405.96,1800.51,1391907.71,1800.54,1406391.99,1800.99,1540792.94,1800.9
AAA00_12_6_10,6,10,12,720,high,high,tight,165078.68,16.4,164411.01,46.62,163565.65,80.12,164052.73,433.34,163507.29,435.1,163019.26,562.7,163570.91,1124.1,163090.14,857.6,163085.31,1230.3,163507.95,1464.2,163043.43,1800.26,163058.12,1201.69,163081.69,1246.7,163079.65,1800.23,163154.54,1800.23,162877.99,1800.42,163041.44,1800.1
AAA00_12_6_60,6,60,12,4320,high,high,tight,929526.14,938.5,918245.92,1593.01,925937.03,1699.78,955726.9,1800.48,951153.35,1520.1,971869.7,1800.9,956404.16,1800.5,951489.94,1800.5,946580.87,1800.4,943685.28,1800.8,996592.28,1800.56,988712.81,1213.69,979026.53,1800.2,966130.8,1800.56,956972.99,1800.57,955912.36,1800.5,1245385.3,1800.2
AAA00_12_6_120,6,120,12,8640,high,high,tight,1875964.39,1384.3,1955218.7,1629.08,1929123.87,1714.95,1911833.8,1800.53,1910024.66,1544.5,1913752.95,1801.7,1940171.56,1800.8,1930148.86,1800.8,1926477.54,1800.9,1978278.08,1800.7,2011680.75,1800.29,1985084.95,1297.77,1976411.9,1800.5,1960665.29,1800.9,1980503.16,1800.79,1994435.43,1800.93,2160694.58,1800.3
AAA00_12_15_10,15,10,12,1800,high,high,tight,349972.59,90.1,349259.63,332.64,349190.34,648.57,349471.6,1800.28,349627.15,1569.4,349855.96,1800.6,349430.52,1800.3,349577.57,1793.4,349592.16,1800.6,350181.35,1800.7,349790.7,1800.37,349714.3,1249.41,349716.98,1800.5,350151.01,1800.73,350356.06,1800.45,350645.11,1800.62,349997.95,1800.2
